LI-8100,LI-8100,LI-8100,,LI-8100,LI-8100,,CHAMBER,LI-8100,LI-8100,LI-8100,CHAMBER,LI-8100,CHAMBER,CHAMBER,LI-8100,LI-8100,Keep,Notes
DATE initial_value,DOY initial_value,PA initial_value,VOLUME_TOTAL,CO2 initial_value,CO2_DRY initial_value,TIMESTAMP_START,VOLUME,COMMENT,FCO2_DRY,FCO2_DRY LIN,AREA,VOLUME,ETIME initial_value,COLLAR_HEIGHT,FCO2_DRY R2,FCO2_DRY LIN_R2,,
[YYYY-MM-DD HH:MM:SS],[#],[kPa],[cm+3],[umol+1 mol-1],[umol+1 mol-1],[YYYYMMDDHHMMSS],[cm+3],[#],[umol+1m-2s-1],[umol+1m-2s-1],[cm+2],[cm+3],[s],[cm],[#],[#],,
8/23/22 8:53,235.37072,98.32,6412.9,411.66,421.6,2.02208E+13,4823.9,L11_R,14.24496,12.94833,314,19,0,5,0.99852,0.99784,1,
8/23/22 8:56,235.3726,98.31,6412.9,409.82,420.09,2.02208E+13,4823.9,L12_R,10.89122,10.89122,314,19,0,5,0.99901,0.99901,1,
8/23/22 8:59,235.37483,98.31,6569.9,409.66,419.84,2.02208E+13,4823.9,L13_R,12.44573,11.43819,314,19,0,5.5,0.99916,0.99865,1,
8/23/22 9:05,235.37853,98.29,4999.9,423.07,433.58,2.02208E+13,4823.9,L21_R,12.00068,12.00068,314,19,0,0.5,0.99892,0.99892,1,
8/23/22 9:07,235.38008,98.29,5156.9,411.84,421.95,2.02208E+13,4823.9,L22_R,10.0942,10.0942,314,19,0,1,0.99845,0.99845,1,
8/23/22 9:10,235.38222,98.28,6255.9,410.73,420.31,2.02208E+13,4823.9,L23_R,12.13992,10.18162,314,19,0,4.5,0.99872,0.99645,1,
8/23/22 9:16,235.38612,98.3,6255.9,407.33,416.74,2.02208E+13,4823.9,L31_R,15.63136,13.61184,314,19,0,4.5,0.99693,0.99518,1,
8/23/22 9:19,235.3883,98.29,4999.9,405.12,414.96,2.02208E+13,4823.9,L32_R,11.0573,9.89501,314,19,0,0.5,0.99559,0.99435,1,
